Material,Conductividad térmica (W/m·K),Densidad (kg/m³),Calor específico (kJ/kg·K)
Tablero de asbesto-cemento,-,1922,1.00
Tablero de yeso de revoque 10mm,-,800,1.09
Tablero de yeso de revoque 13mm,-,800,-
Madera contrachapada (abeto Douglas),0.12,545,1.21
Tablero duro,0.14,1010,1.34
Tablero aglutinado: Densidad media,0.14,800,1.30
Contrapiso,-,640,1.21
Contrapiso de madera,-,-,1.38
Ladrillo común,0.72,1922,-
Ladrillo para fachada,1.30,2082,-
Ladrillo de arcilla refractaria,1.34,2400,-
Bloques de concreto 100mm,0.90,1920,-
Bloques de concreto 200mm,0.41,1120,-
Bloques de concreto 300mm,0.77,-,-
Estuco,0.72,1857,-
Tejas de asbesto-cemento,-,1900,1.00
Asfalto en rollos,-,1100,1.51
Tejas de asfalto,-,1100,1.26
Techado incorporado,-,1100,1.46
Pizarra,-,-,1.26
Tejas de madera (simples o con cara de plástico/película),-,-,1.30
Revoque de cemento agregado de arena,0.72,1860,0.84
Revoque de yeso: Agregado ligero,-,720,-
Revoque de yeso: Agregado de arena,0.81,1680,0.84
Revoque de yeso: Agregado de perlita,0.22,720,1.34
Forro de tablero duro,-,-,1.17
Forro de madera (rebajada),-,-,1.30
Forro de madera (contrachapada),-,-,1.21
Vidrio arquitectónico,1.0,2530,0.84
Maderas duras,0.159,721,1.26
Maderas suaves,0.115,513,1.38
Aluminio (1100),222,2739,0.896
Acero dulce,45.3,7833,0.502
Acero inoxidable,15.6,7913,0.456
