Temp. (°C),Psat (kPa),Densidad líquido (kg/m³),Densidad vapor (kg/m³),Entalpia Vaporizacion (kJ/kg),Calor específico líquido (J/kg·K),Calor específico vapor (J/kg·K),Conductividad térmica líquido (W/m·K),Conductividad térmica vapor (W/m·K),Viscosidad dinámica líquido (kg/m·s),Viscosidad dinámica vapor (kg/m·s),Número de Prandtl líquido,Número de Prandtl vapor,Coeficiente Expansion Volumetrica Liquido (1/K)
0.01,0.6113,999.8,0.0048,2501,4217.0,1854.0,0.561,0.0171,0.001792,9.22e-06,13.5,1.0,-6.8e-05
5.0,0.8721,999.9,0.0068,2490,4205.0,1857.0,0.571,0.0173,0.001519,9.34e-06,11.2,1.0,1.5e-05
10.0,1.2276,999.7,0.0094,2478,4194.0,1862.0,0.58,0.0176,0.001307,9.46e-06,9.45,1.0,0.000733
15.0,1.7051,999.1,0.0128,2466,4185.0,1863.0,0.589,0.0179,0.001138,9.59e-06,8.09,1.0,0.000138
20.0,2.339,998.0,0.0173,2454,4182.0,1867.0,0.598,0.0182,0.001002,9.73e-06,7.01,1.0,0.000195
25.0,3.169,997.0,0.0231,2442,4180.0,1870.0,0.607,0.0186,0.000891,9.87e-06,6.14,1.0,0.000247
30.0,4.246,996.0,0.0304,2431,4178.0,1875.0,0.615,0.0189,0.000798,1.001e-05,5.42,1.0,0.000294
35.0,5.628,994.0,0.0397,2419,4178.0,1880.0,0.623,0.0192,0.00072,1.016e-05,4.83,1.0,0.000337
40.0,7.384,992.1,0.0512,2407,4179.0,1885.0,0.631,0.0196,0.000653,1.031e-05,4.32,1.0,0.000377
45.0,9.593,990.1,0.0655,2395,4180.0,1892.0,0.637,0.02,0.000596,1.046e-05,3.91,1.0,0.000415
50.0,12.35,988.1,0.0831,2383,4181.0,1900.0,0.644,0.0204,0.000547,1.062e-05,3.55,1.0,0.000451
55.0,15.76,985.2,0.1045,2371,4183.0,1908.0,0.649,0.0208,0.000504,1.077e-05,3.25,1.0,0.000484
60.0,19.94,983.3,0.1304,2359,4185.0,1916.0,0.654,0.0212,0.000467,1.093e-05,2.99,1.0,0.000517
65.0,25.03,980.4,0.1614,2346,4187.0,1926.0,0.659,0.0216,0.000433,1.11e-05,2.75,1.0,0.000548
70.0,31.19,977.5,0.1983,2334,4190.0,1936.0,0.663,0.0221,0.000404,1.126e-05,2.55,1.0,0.000578
75.0,38.58,974.7,0.2421,2321,4193.0,1948.0,0.667,0.0225,0.000378,1.142e-05,2.38,1.0,0.000607
80.0,47.39,971.8,0.2935,2309,4197.0,1962.0,0.67,0.023,0.000355,1.159e-05,2.22,1.0,0.000653
85.0,57.83,968.1,0.3536,2296,4201.0,1977.0,0.673,0.0235,0.000333,1.176e-05,2.08,1.0,0.00067
90.0,70.14,965.3,0.4235,2283,4206.0,1993.0,0.675,0.024,0.000315,1.193e-05,1.96,1.0,0.000702
95.0,84.55,961.5,0.5045,2270,4212.0,2010.0,0.677,0.0246,0.000297,1.21e-05,1.85,1.0,0.000716
100.0,101.33,957.9,0.5978,2257,4217.0,2029.0,0.679,0.0251,0.000282,1.227e-05,1.75,1.0,0.00075
110.0,143.27,950.6,0.8263,2230,4229.0,2071.0,0.682,0.0262,0.000255,1.261e-05,1.58,1.0,0.000798
120.0,198.53,943.4,1.121,2203,4244.0,2120.0,0.683,0.0275,0.000232,1.296e-05,1.44,1.0,0.000858
130.0,270.1,934.6,1.496,2174,4263.0,2177.0,0.684,0.0288,0.000213,1.33e-05,1.33,1.01,0.000913
140.0,361.3,921.7,1.965,2145,4286.0,2244.0,0.683,0.0301,0.000197,1.365e-05,1.24,1.02,0.00097
150.0,475.8,916.6,2.546,2114,4311.0,2314.0,0.682,0.0316,0.000183,1.399e-05,1.16,1.02,0.001025
160.0,617.8,907.4,3.256,2083,4340.0,2420.0,0.68,0.0331,0.00017,1.434e-05,1.09,1.05,0.001145
170.0,791.7,897.7,4.119,2050,4370.0,2490.0,0.677,0.0347,0.00016,1.468e-05,1.03,1.05,0.001178
180.0,1002.1,887.3,5.153,2015,4410.0,2590.0,0.673,0.0364,0.00015,1.502e-05,0.983,1.07,0.00121
190.0,1254.4,876.4,6.388,1979,4460.0,2710.0,0.669,0.0382,0.000142,1.537e-05,0.947,1.09,0.00128
200.0,1553.8,864.3,7.852,1941,4500.0,2840.0,0.663,0.0401,0.000134,1.571e-05,0.91,1.11,0.00135
220.0,2318.0,840.3,11.6,1859,4610.0,3110.0,0.65,0.0442,0.000122,1.641e-05,0.865,1.15,0.00152
240.0,3344.0,813.7,16.73,1767,4760.0,3520.0,0.632,0.0487,0.000111,1.712e-05,0.836,1.24,0.00172
260.0,4688.0,783.7,23.69,1663,4970.0,4070.0,0.609,0.054,0.000102,1.788e-05,0.832,1.35,0.002
280.0,6412.0,750.8,33.15,1544,5280.0,4835.0,0.581,0.0605,9.4e-05,1.87e-05,0.854,1.49,0.00238
300.0,8581.0,713.8,46.15,1405,5750.0,5980.0,0.548,0.0695,8.6e-05,1.965e-05,0.902,1.69,0.00295
320.0,11274.0,667.1,64.57,1239,6540.0,7900.0,0.509,0.0836,7.8e-05,2.084e-05,1.0,1.97,
340.0,14586.0,610.5,92.62,1028,8240.0,11870.0,0.469,0.11,7e-05,2.255e-05,1.23,2.43,
360.0,18651.0,528.3,144.0,720,14690.0,25800.0,0.427,0.178,6e-05,2.571e-05,2.06,3.73,
374.14,22090.0,317.0,317.0,0,,,,,4.3e-05,4.313e-05,,,
